TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,partition_date
Here Comes the Boom,2012-10-11 17:00:00-07:00,6.5,69939.0,Sport,2012-10-01
Tai Chi Hero,2012-10-24 17:00:00-07:00,6.2,2416.0,Adventure,2012-10-01
Mockingbird Lane,2012-10-25 17:00:00-07:00,7.6,3418.0,Fantasy,2012-10-01
Poslednyaya skazka Rity,2012-10-17 17:00:00-07:00,7.0,306.0,Mystery,2012-10-01
Painless,2012-10-09 17:00:00-07:00,6.1,2373.0,Horror,2012-10-01
Mockingbird Lane,2012-10-25 17:00:00-07:00,7.6,3418.0,Drama,2012-10-01
Life of Pi,2012-11-20 16:00:00-08:00,8.0,390197.0,Adventure,2012-11-01
Skyfall,2012-11-08 16:00:00-08:00,7.8,456725.0,Thriller,2012-11-01
Skyfall,2012-11-08 16:00:00-08:00,7.8,456725.0,Action,2012-11-01
Evangelion: 3.0 You Can (Not) Redo,2012-11-16 16:00:00-08:00,7.0,4506.0,Animation,2012-11-01
Cold War,2012-11-07 16:00:00-08:00,6.7,2329.0,Crime,2012-11-01
Life of Pi,2012-11-20 16:00:00-08:00,8.0,390197.0,Fantasy,2012-11-01
Red Dawn,2012-11-20 16:00:00-08:00,5.4,58822.0,War,2012-11-01
Life of Pi,2012-11-20 16:00:00-08:00,8.0,390197.0,Drama,2012-11-01
Imaginaerum,2012-11-22 16:00:00-08:00,6.2,4574.0,Musical,2012-11-01
Confession of Murder,2012-11-07 16:00:00-08:00,7.0,3135.0,Mystery,2012-11-01
One Piece Film Z,2012-12-14 16:00:00-08:00,8.0,3017.0,Action,2012-12-01
Jack Reacher,2012-12-20 16:00:00-08:00,7.0,205565.0,Crime,2012-12-01
Jack Reacher,2012-12-20 16:00:00-08:00,7.0,205565.0,Mystery,2012-12-01
Django Unchained,2012-12-24 16:00:00-08:00,8.5,817800.0,Western,2012-12-01
The Last Tycoon,2012-12-21 16:00:00-08:00,6.7,1361.0,Drama,2012-12-01
One Piece Film Z,2012-12-14 16:00:00-08:00,8.0,3017.0,Adventure,2012-12-01
The Hobbit: An Unexpected Journey,2012-12-13 16:00:00-08:00,8.0,579015.0,Fantasy,2012-12-01
Halo 4: Forward Unto Dawn,2012-12-03 16:00:00-08:00,7.1,18748.0,Sci-Fi,2012-12-01
One Piece Film Z,2012-12-14 16:00:00-08:00,8.0,3017.0,Animation,2012-12-01
The Hijack That Went South,2013-01-17 16:00:00-08:00,5.5,652.0,Comedy,2013-01-01
"Batman: The Dark Knight Returns, Part 2",2013-01-28 16:00:00-08:00,8.4,22244.0,Animation,2013-01-01
The Last Stand,2013-01-17 16:00:00-08:00,6.4,107603.0,Thriller,2013-01-01
Gangster Squad,2013-01-10 16:00:00-08:00,6.8,162356.0,Drama,2013-01-01
Vishwaroopam,2013-01-24 16:00:00-08:00,8.8,33015.0,Action,2013-01-01
Hansel & Gretel: Witch Hunters,2013-01-24 16:00:00-08:00,6.1,146575.0,Horror,2013-01-01
Berserk: The Golden Age Arc III - The Advent,2013-01-31 16:00:00-08:00,7.9,2421.0,Fantasy,2013-01-01
Vishwaroopam,2013-01-24 16:00:00-08:00,8.8,33015.0,Adventure,2013-01-01
Vishwaroopam,2013-01-24 16:00:00-08:00,8.8,33015.0,Crime,2013-01-01
The Sweeney,2013-02-28 16:00:00-08:00,6.1,15568.0,Crime,2013-02-01
Metro,2013-02-20 16:00:00-08:00,6.6,4251.0,Thriller,2013-02-01
Metro,2013-02-20 16:00:00-08:00,6.6,4251.0,Action,2013-02-01
Journey to the West,2013-02-06 16:00:00-08:00,6.8,6584.0,Adventure,2013-02-01
Journey to the West,2013-02-06 16:00:00-08:00,6.8,6584.0,Fantasy,2013-02-01
Beautiful Creatures,2013-02-13 16:00:00-08:00,6.2,61729.0,Romance,2013-02-01
Journey to the West,2013-02-06 16:00:00-08:00,6.8,6584.0,Comedy,2013-02-01
Snitch,2013-02-21 16:00:00-08:00,6.5,59951.0,Drama,2013-02-01
